,food_combogarlic,counts,target_total,eat_totals,drop_totals,total_garlic,total_vitamins,eat_pct,eat_target_pct
0,Mackerel_Garlic,108,6464,2099,338,108.0,2.0,19.4,0.32
1,Saury_Garlic,103,6802,2795,384,103.0,91.0,27.1,0.41
2,Herring,89,2120,1013,85,0.0,2.0,11.4,0.48
3,Blue Runner_Squid_Garlic,67,4854,1894,354,67.0,62.0,28.3,0.39
4,Mackerel,36,2156,656,127,0.0,2.0,18.2,0.3
5,Herring_Garlic,33,1111,402,68,33.0,1.0,12.2,0.36
6,Saury_Salmon_Garlic,25,1336,652,86,25.0,23.0,26.1,0.49
7,Blue Runner_Garlic,16,1034,363,91,16.0,12.0,22.7,0.35
8,Saury,16,1096,385,78,0.0,2.0,24.1,0.35
9,Blue Runner_Squid,10,684,206,81,0.0,2.0,20.6,0.3
10,Blue Runner_Squid_Salmon_Garlic,9,610,256,44,9.0,9.0,28.4,0.42
11,Blue Runner_Squid_Mahi_Garlic,6,438,166,34,6.0,6.0,27.7,0.38
12,,6,149,55,14,0.0,0.0,9.2,0.37
13,Blue Runner,6,369,112,30,0.0,1.0,18.7,0.3
14,Blue Runner_Squid_Bonito_Garlic,5,363,139,25,5.0,5.0,27.8,0.38
15,Garlic,5,354,111,10,5.0,2.0,22.2,0.31
16,Squid_Garlic,4,283,86,7,4.0,3.0,21.5,0.3
17,Mackerel_Herring_Garlic,4,230,83,11,4.0,0.0,20.8,0.36
18,Squid_Herring,3,115,41,2,0.0,0.0,13.7,0.36
19,Saury_Salmon,3,191,89,7,0.0,0.0,29.7,0.47
